Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4299,1,SASCHA LEHMANN,M,SUI,2.24,35+,41+
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",320,2,NICOLAS COLLIN,M,BEL,13.5,36+,38+
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",93,3,DMITRII FAKIRIANOV,M,RUS,3.32,36+,37+
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3998,4,NIMROD MARCUS,M,ISR,3.87,32+,37+
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2667,5,HANNES PUMAN,M,SWE,2.24,35+,34+
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1361,6,MARTIN STRANIK,M,CZE,6.48,35+,33+
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1138,7,ANZE PEHARC,M,SLO,8.94,35+,32+
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",172,8,VLADISLAV SHEVCHENKO,M,RUS,9.0,35+,32+
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3989,9,YUVAL SHEMLA,M,ISR,3.87,31,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3983,10,ALEX KHAZANOV,M,ISR,11.62,30+,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3199,11,DYLAN CHUAT,M,SUI,12.73,29+,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",648,12,WILLIAM BOSI,M,GBR,9.53,28+,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",318,13,SIMON LORENZI,M,BEL,11.62,28+,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",185,14,DMITRII POPOV,M,RUS,21.18,27+,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1418,15,SIMON POTUCEK,M,CZE,16.43,26+,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2763,16,TOMAS PLEVKO,M,SVK,21.11,24+,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1396,17,STEPAN VOLF,M,CZE,16.43,24,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1489,18,FEDIR SAMOILOV,M,UKR,14.92,23+,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1449,19,STEPAN POTUCEK,M,CZE,25.98,23,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3036,20,NIKOLA KRAMARIC,M,CRO,24.08,19+,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1389,21,JAKUB KONECNY,M,CZE,9.0,18+,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4364,22,KIPRAS BALTRUNAS,M,LTU,23.24,18+,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2767,23,PETER KURIC,M,SVK,25.0,18,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2670,24,FREDRIK SERLACHIUS,M,SWE,22.25,17+,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",79,25,ALEKSEY RUBTSOV,M,RUS,14.92,DNS,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",85,26,SERGEI LUZHETSKII,M,RUS,16.22,DNS,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3991,27,RAM LEVIN,M,ISR,27.25,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1124,28,JERNEJ KRUDER,M,SLO,27.45,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4168,29,EDVARDS GRUZITIS,M,LAT,28.39,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4150,30,ROLANDS RUGENS,M,LAT,28.72,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",165,31,NIKOLAI IARILOVETS,M,RUS,29.39,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1513,32,LEONID OSADCHYI,M,UKR,30.98,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4019,33,GEVA LEVIN,M,ISR,31.7,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4028,34,CARMEL RAZ ROMEO,M,ISR,33.5,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1502,35,MYKHAYIL TKACHUK,M,UKR,35.5,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",11018,36,EDUARDAS JERIOMENKO,M,LTU,36.23,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1372,37,JAN KRIZ,M,CZE,36.74,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1480,38,DANYIL BOLDYREV,M,UKR,38.24,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1534,38,BOHDAN BOTNAR,M,UKR,38.24,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2845,40,MARCIN DZIENSKI,M,POL,40.0,,
