Event,ID,Rank,Name,Country,Qualification,Final
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",74,1,STANISLAV KOKORIN,RUS,6.090,6.08
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",56,2,EVGENII VAITSEKHOVSKII,RUS,6.070,6.29
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",64,3,SERGEY ABDRAKHMANOV,RUS,6.350,6.11
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",3278,4,ASPAR ASPAR,INA,6.650,6.64
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",1480,5,DANYIL BOLDYREV,UKR,6.500,6.22
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",86,6,ARSENII SHEVCHENKO,RUS,6.510,6.33
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",1483,7,YAROSLAV GONTARYK,UKR,6.230,7.71
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",48,8,SERGEI SINITCYN,RUS,7.020,8.66
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",5026,9,LINCAI ZHONG,CHN,6.620,6.70
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",6042,10,VIACHESLAV VEDENCHUK,RUS,6.640,7.07
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",2942,11,GUANGDONG LI,CHN,7.260,7.47
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",856,12,LEONARDO GONTERO,ITA,6.260,7.75
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",76,13,ARTEM SAVELYEV,RUS,7.120,8.36
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",2838,14,JEDRZEJ KOMOSINSKI,POL,6.500,8.81
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",4747,15,OLEKSIY YURKO,UKR,6.930,FALL
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",4990,16,YUHANG ZHANG,CHN,7.340,FALL
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",2929,17,QIXIN ZHONG,CHN,7.730,
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",2138,18,YEU-SHIANG CHANG,TPE,8.610,
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",1359,19,LIBOR HROZA,CZE,9.400,
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",1559,20,SEAN MCCOLL,CAN,10.220,
