Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",2929,1,QIXIN ZHONG,M,CHN,6.580,6.40
"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",1359,2,LIBOR HROZA,M,CZE,6.910,6.57
"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",56,3,EVGENII VAITSEKHOVSKII,M,RUS,7.220,7.08
"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",5025,4,MOHSEN MOHAMMADINEGAD,M,IRI,8.210,FALL
"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",48,5,SERGEI SINITCYN,M,RUS,7.360,7.06
"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",2932,6,NING ZHANG,M,CHN,7.580,7.18
"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",74,7,STANISLAV KOKORIN,M,RUS,7.250,7.24
"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",4990,8,YUHANG ZHANG,M,CHN,7.490,7.36
"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",4882,9,ZUFAR NIGMANOV,M,RUS,7.960,7.50
"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",4745,10,LUKASZ SWIRK,M,POL,7.810,7.81
"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",5026,11,LINCAI ZHONG,M,CHN,7.890,8.10
"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",4752,12,MÁTÉ GÁL,M,HUN,9.070,8.90
"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",3459,13,HAMIDREZA TOOZANDEHJANI,M,IRI,7.300,9.69
"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",5027,14,PINGSHENG LAI,M,CHN,8.480,12.72
"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",64,15,SERGEY ABDRAKHMANOV,M,RUS,8.400,FALL
"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",5028,16,OMID SHEIKHBAHAEI,M,IRI,8.880,FALL
"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",5010,17,CHI-WAI LAI,M,HKG,9.080,
"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",2931,18,HAIBIN QU,M,CHN,9.180,
"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",4877,19,JIACUO SUOLANG,M,CHN,9.350,
"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",2938,20,ZIDA MA,M,CHN,9.450,
