,ID,Name,Country,Qualification,Semi-Final,Final,Q_Pct,S_Pct,F_Pct
0,1204,KILIAN FISCHHUBER,AUT,56,51,44,100.0,91.07,78.57
1,53,DMITRII SHARAFUTDINOV,RUS,65,53,40,100.0,81.54,61.54
2,60,RUSTAM GELMANOV,RUS,69,56,38,100.0,81.16,55.07
3,2272,KOKORO FUJII,JPN,56,49,28,100.0,87.5,50.0
4,2276,TOMOA NARASAKI,JPN,48,41,27,100.0,85.42,56.25
5,2052,JONGWON CHON,KOR,48,43,27,100.0,89.58,56.25
6,79,ALEKSEY RUBTSOV,RUS,57,50,26,100.0,87.72,45.61
7,436,GUILLAUME GLAIRON MONDET,FRA,62,55,24,100.0,88.71,38.71
8,1559,SEAN MCCOLL,CAN,72,50,23,100.0,69.44,31.94
9,3422,JAN HOJER,GER,62,47,21,100.0,75.81,33.87
10,1214,JAKOB SCHUBERT,AUT,54,38,20,100.0,70.37,37.04
11,1364,ADAM ONDRA,CZE,25,25,20,100.0,100.0,80.0
12,2309,YOSHIYUKI OGATA,JPN,45,34,15,100.0,75.56,33.33
13,2255,TSUKURU HORI,JPN,69,48,15,100.0,69.57,21.74
14,1124,JERNEJ KRUDER,SLO,90,54,15,100.0,60.0,16.67
15,2257,REI SUGIMOTO,JPN,51,44,15,100.0,86.27,29.41
16,849,GABRIELE MORONI,ITA,48,35,12,100.0,72.92,25.0
17,3577,JORG VERHOEVEN,NED,52,37,11,100.0,71.15,21.15
18,4776,MYKHAYLO SHALAGIN,UKR,36,22,9,100.0,61.11,25.0
19,490,MANUEL CORNU,FRA,38,24,9,100.0,63.16,23.68
20,470,JEREMY BONDER,FRA,41,27,9,100.0,65.85,21.95
21,4716,KLEMEN BECAN,SLO,42,26,8,100.0,61.9,19.05
22,9191,STÉPHAN JULIEN,FRA,36,20,7,100.0,55.56,19.44
23,3129,CÉDRIC LACHAT,SUI,19,16,6,100.0,84.21,31.58
24,1138,ANZE PEHARC,SLO,30,18,6,100.0,60.0,20.0
