Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,2035,1,JAIN KIM,KOR,45   8. | TOP  1. [6.00],39+,TOP
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,1122,2,MINA MARKOVIC,SLO,TOP  1. | TOP  1. [2.00],40+,47+
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,1121,3,MAJA STREMFELJ,SLO,46   3. | TOP  1. [4.24],35,44+
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,2253,4,AKIYO NOGUCHI,JPN,46   3. | TOP  1. [4.24],37+,40+
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,1224,5,MAGDALENA RÖCK,AUT,46   3. | TOP  1. [4.24],39,39+
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,315,6,ANAK VERHOEVEN,BEL,46   3. | TOP  1. [4.24],39+,38+
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,455,7,HÉLÈNE JANICOT,FRA,46+  2. | 39+  10. [4.80],35+,38
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,2251,8,YUKA KOBAYASHI,JPN,45   8. | 39   14. [11.22],37+,30+
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,445,9,CHARLOTTE DURIF,FRA,41+  11. | 39+  10. [11.25],35,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,2268,10,AYA ONOE,JPN,40   13. | 39+  10. [12.23],35,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,2287,11,AIKA TAJIMA,JPN,35+  16. | 40+  8. [11.49],34+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,1222,12,KATHARINA POSCH,AUT,41   12. | 39+  10. [11.75],34+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,1210,13,CHRISTINE SCHRANZ,AUT,45+  7. | 40   9. [7.94],29+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,3984,14,NETTA FREDMAN,ISR,30+  19. | 32+  17. [18.75],29+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,68,15,DINARA FAKHRITDINOVA,RUS,37   14. | 35   15. [14.75],28+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,6169,16,TSUKASA MIZUGUCHI,JPN,26   23. | 32+  17. [20.85],28+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,2277,17,MOE YOSHIMURA,JPN,19+  26. | 30+  22. [23.92],28,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,1202,18,BARBARA BACHER,AUT,35   18. | 34+  16. [16.97],27,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,3580,19,NIKKI VAN BERGEN,NED,37   14. | 32+  17. [16.38],26+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,2321,20,ERINA MIURA,JPN,27+  20. | 24+  24. [22.18],26,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,2297,21,MISATO NISHIKORI,JPN,26   23. | 27   23. [23.25],25+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,2267,22,RISA OTA,JPN,45   8. | TOP  1. [6.00],25,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,2294,23,MIHO NONAKA,JPN,35+  16. | 32+  17. [17.47],24+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,2322,24,ASAMI HARADA,JPN,27+  20. | 22+  25. [22.86],24+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,2270,25,YUKI HIROSHIGE,JPN,27   22. | 6+  27. [24.37],24+,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,6222,26,SAKIKO OSAWA,JPN,9+  27. | 31+  21. [23.81],23,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,6076,27,YUKI MATSUSHIMA,JPN,24   25. | 22+  25. [25.25],,
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,6370,28,MELANIE MESSER,USA,9   28. | 5+  28. [28.00],,
