Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",147,1,VIKTORIIA MESHKOVA,F,RUS,3.16,TOP,36+ (3:53)
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1400,2,ELISKA ADAMOVSKA,F,CZE,3.16,TOP,36+ (4:35)
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",642,3,MOLLY THOMPSON-SMITH,F,GBR,7.21,31+,31
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3113,4,HANNAH MEUL,F,GER,5.1,27+,30+
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",226,5,OLESYA PROSEKOVA,F,RUS,5.1,33+,30
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",12397,6,DARIA MEZENTSEVA,F,RUS,3.16,37,28+
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1526,7,NIKA POTAPOVA,F,UKR,10.72,28+,18+
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1453,8,MARKETA JANOSOVA,F,CZE,7.65,29+,11
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1438,9,MICHAELA SMETANOVA,F,CZE,9.95,24+,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",144,10,ELENA KRASOVSKAIA,F,RUS,7.48,24,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3840,11,STASA GEJO,F,SRB,12.46,23+,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4002,12,NOA SHIRAN,F,ISR,14.28,23,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4330,13,LUCIA DÖRFFEL,F,GER,17.75,23,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2771,14,VANDA MICHALKOVA,F,SVK,13.23,22+,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",70,15,ANNA ZAIKINA,F,RUS,18.91,22+,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3042,16,VANA PICCINI,F,CRO,23.48,22,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4017,17,AYALA KEREM,F,ISR,22.14,21,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3996,18,NAAMA YOHAI,F,ISR,14.49,18+,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3130,19,KATHERINE CHOONG,F,SUI,16.73,15+,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",177,20,DARIA VERETENINA,F,RUS,20.25,15+,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1447,21,TEREZA ŠIRŮČKOVÁ,F,CZE,16.94,15,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1441,22,NIKOLA KRALIKOVA,F,CZE,19.84,15,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2879,23,NATALIA KALUCKA,F,POL,23.22,14+,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1543,24,YEVHENIIA CHERNIAVSKA,F,UKR,24.7,14+,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",316,25,CHLOE CAULIER,F,BEL,3.16,DNS,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4328,26,ALMA BESTVATER,F,GER,25.48,DNS,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3354,27,AFRA HÖNIG,F,GER,26.19,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2878,28,ALEKSANDRA KALUCKA,F,POL,26.66,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1439,29,ELIŠKA BULENOVÁ,F,CZE,27.5,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1536,30,YELYZAVETA LAVRYKOVA,F,UKR,29.98,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2857,31,PATRYCJA CHUDZIAK,F,POL,30.25,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2855,32,ANNA BROZEK,F,POL,32.0,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3246,,PETRA KLINGLER,F,SUI,DNS,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2848,,ALEKSANDRA MIROSLAW,F,POL,DNS,,
