Event,ID,Rank,Name,Gender,Country,Qualification,Final
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,2834,1,EDYTA ROPEK,F,POL,22.980,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,45,2,VALENTINA YURINA,F,RUS,24.110,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,4738,3,SARA MORANDI,F,ITA,21.170,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,82,4,MARIIA KRASAVINA,F,RUS,24.200,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,4735,5,KSENIIA ALEKSEEVA,F,RUS,23.920,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,4740,5,OLEKSANDRA BUD GUSAIM,F,UKR,24.510,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,62,5,ALINA GAIDAMAKINA,F,RUS,21.130,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,81,5,YULIYA LEVOCHKINA,F,RUS,23.410,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,2847,9,KLAUDIA BUCZEK,F,POL,27.080,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,2842,10,MONIKA PROKOPIUK-KAWECKA,F,POL,27.500,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,4741,11,ANASTASIYA SAVISKO,F,UKR,28.060,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,5938,12,YULIA VAYTSEKHOVSKAYA,F,RUS,28.600,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,4743,13,ANNA KOLOKOVSKA,F,UKR,35.150,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,3178,14,LUCELIA BLANCO,F,VEN,40.630,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,4963,15,ISABELL HAAG,F,GER,47.660,
