Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",3422,1,JAN HOJER,GER,2T2 5B5,2T3 3B4,3T7 4B8
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",1559,2,SEAN MCCOLL,CAN,3T4 4B5,1T2 3B7,2T5 3B6
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",436,3,GUILLAUME GLAIRON MONDET,FRA,4T5 5B6,1T1 3B4,0T 2B4
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",2052,4,JONGWON CHON,KOR,4T5 5B7,1T3 2B3,0T 2B4
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",2276,5,TOMOA NARASAKI,JPN,3T6 5B6,1T2 2B2,0T 1B1
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",855,6,STEFANO GHISOLFI,ITA,1T2 5B7,1T1 3B9,0T 1B2
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",53,7,DMITRII SHARAFUTDINOV,RUS,4T6 5B7,0T 3B5,
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",2255,8,TSUKURU HORI,JPN,4T6 5B10,0T 2B2,
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",2833,9,ANDRZEJ MECHERZYNSKI-WIKTOR,POL,3T3 5B5,0T 2B2,
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",79,10,ALEKSEY RUBTSOV,RUS,3T4 4B4,0T 2B3,
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",90,11,ARTEM PETRAKOV,RUS,1T1 4B5,0T 2B5,
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",2931,12,HAIBIN QU,CHN,1T1 3B4,0T 2B7,
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",3577,13,JORG VERHOEVEN,NED,3T8 5B10,0T 1B1,
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",6218,14,DONGGUN LEE,KOR,3T5 5B12,0T 1B2,
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",5966,15,KEITA SETO,JPN,2T5 4B7,0T 1B2,
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",646,16,NATHAN PHILLIPS,GBR,1T1 4B6,0T 1B2,
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",2261,17,MASAHIRO HIGUCHI,JPN,3T3 4B11,0T 1B3,
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",2033,18,JABEE KIM,KOR,2T5 4B10,0T 1B3,
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",2934,19,CHANGFENG QU,CHN,1T1 3B6,0T 1B3,
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",2040,20,JIHWAN PARK,KOR,4T8 5B10,0T 0B,
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",2938,21,ZIDA MA,CHN,1T2 4B8,,
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",2927,22,QINGHUA WANG,CHN,1T2 3B7,,
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",4877,23,JIACUO SUOLANG,CHN,1T6 2B4,,
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",2216,24,SIU-HEI TANG,HKG,0T 3B6,,
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",6335,25,NATHANIEL SPENCER,USA,0T 1B2,,
