Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Vail (USA) 2009,2822,1,JONAS BAUMANN,GER,4T4 5B5,3T3 4B4,4T5 4B4
IFSC Climbing Worldcup (B) - Vail (USA) 2009,1707,2,DANIEL WOODS,USA,5T5 5B5,4T9 4B6,4T6 4B5
IFSC Climbing Worldcup (B) - Vail (USA) 2009,1204,3,KILIAN FISCHHUBER,AUT,5T5 5B5,3T4 4B4,3T4 4B5
IFSC Climbing Worldcup (B) - Vail (USA) 2009,4839,4,PAUL ROBINSON,USA,4T5 5B7,4T5 4B4,3T7 4B7
IFSC Climbing Worldcup (B) - Vail (USA) 2009,1716,5,KYLE OWEN,USA,5T7 5B7,4T6 4B6,2T3 4B5
IFSC Climbing Worldcup (B) - Vail (USA) 2009,60,6,RUSTAM GELMANOV,RUS,5T5 5B5,3T5 4B8,2T4 4B4
IFSC Climbing Worldcup (B) - Vail (USA) 2009,436,7,GUILLAUME GLAIRON MONDET,FRA,5T5 5B5,2T2 4B6,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,2255,8,TSUKURU HORI,JPN,5T6 5B6,2T2 3B5,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,849,9,GABRIELE MORONI,ITA,5T5 5B5,2T4 4B6,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,4773,10,LOÏC GAIDIOZ,FRA,5T9 5B6,1T1 4B8,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,4778,11,LUCAS PRETI,ITA,4T6 5B6,1T1 3B4,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,2032,12,SANGWON SON,KOR,5T9 5B8,1T2 2B2,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,1709,13,CARLO TRAVERSI,USA,4T5 5B6,1T2 2B3,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,5989,14,JULIAN BAUTISTA,USA,4T6 5B8,1T2 2B5,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,4716,15,KLEMEN BECAN,SLO,5T8 5B5,1T2 1B1,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,5611,16,NALLE HUKKATAIVAL,FIN,5T6 5B6,1T4 2B5,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,9191,17,STÉPHAN JULIEN,FRA,5T8 5B7,1T4 1B3,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,1572,18,ANDRE DIFELICE,CAN,4T6 5B6,1T5 3B8,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,4775,19,REMO SOMMER,SUI,5T5 5B5,0T 3B3,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,5615,20,TOSHIAKI TAKEUCHI,JPN,5T6 5B5,0T 2B2,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,2034,21,JAHA KIM,KOR,4T6 4B5,,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,4782,22,OLIVIER LEBRETON,FRA,4T7 5B5,,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,432,23,GÉROME POUVREAU,FRA,4T7 5B9,,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,4847,24,TERRY PAHOLEK,CAN,4T9 4B7,,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,4777,25,MARKUS HOPPE,GER,4T11 5B7,,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,3576,26,WOUTER JONGENEELEN,NED,3T3 5B5,,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,5959,27,RYAN RODEN,USA,3T5 5B8,,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,4851,28,DUSTIN CURTIS,CAN,3T7 4B6,,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,4854,28,FUMIHIRO OYAMA,JPN,3T7 4B6,,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,4503,30,JULIEN MERAL,FRA,3T8 5B10,,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,4848,31,YVES GRAVELLE,CAN,2T2 5B6,,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,4843,32,ADAM MARKERT,USA,2T3 5B9,,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,4976,33,PETER WÜRTH,GER,2T4 5B6,,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,1571,34,SEBASTIEN LAZURE,CAN,2T5 5B14,,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,5990,35,MAXIM ZOLOTUKHIN,USA,2T5 4B6,,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,5991,36,NICOLAS MATHIEU,BEL,1T3 4B5,,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,5992,37,GARRETT GREGOR,USA,0T 4B6,,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,4613,38,DAN ARCHAMBAULT,CAN,0T 4B9,,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,5668,39,JOHN BOWLES,CAN,0T 3B6,,
IFSC Climbing Worldcup (B) - Vail (USA) 2009,5993,40,MARIUS EMIL DANILA,ROU,0T 1B1,,
