Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Laval (FRA) 2014,60,1,RUSTAM GELMANOV,RUS,4T6 5B5,4T5 4B4,4T8 4B8
IFSC Climbing Worldcup (B) - Laval (FRA) 2014,436,2,GUILLAUME GLAIRON MONDET,FRA,5T5 5B5,4T6 4B5,3T6 3B5
IFSC Climbing Worldcup (B) - Laval (FRA) 2014,470,3,JEREMY BONDER,FRA,4T7 5B6,4T6 4B5,2T4 2B2
IFSC Climbing Worldcup (B) - Laval (FRA) 2014,3422,4,JAN HOJER,GER,4T6 5B6,4T6 4B6,1T1 2B3
IFSC Climbing Worldcup (B) - Laval (FRA) 2014,486,5,ALBAN LEVIER,FRA,4T8 5B9,4T8 4B4,1T2 2B3
IFSC Climbing Worldcup (B) - Laval (FRA) 2014,9191,6,STÉPHAN JULIEN,FRA,4T8 5B7,4T9 4B8,1T3 2B4
IFSC Climbing Worldcup (B) - Laval (FRA) 2014,1559,7,SEAN MCCOLL,CAN,3T5 5B8,3T5 4B6,
IFSC Climbing Worldcup (B) - Laval (FRA) 2014,441,8,THOMAS CALEYRON,FRA,5T9 5B7,3T7 4B7,
IFSC Climbing Worldcup (B) - Laval (FRA) 2014,3124,9,THOMAS TAUPORN,GER,5T8 5B5,3T12 4B6,
IFSC Climbing Worldcup (B) - Laval (FRA) 2014,1124,10,JERNEJ KRUDER,SLO,5T8 5B5,2T3 4B7,
IFSC Climbing Worldcup (B) - Laval (FRA) 2014,849,10,GABRIELE MORONI,ITA,4T15 4B14,2T3 4B7,
IFSC Climbing Worldcup (B) - Laval (FRA) 2014,634,12,DAVID BARRANS,GBR,4T7 5B5,2T3 4B9,
IFSC Climbing Worldcup (B) - Laval (FRA) 2014,2833,13,ANDRZEJ MECHERZYNSKI-WIKTOR,POL,4T11 5B8,2T3 4B12,
IFSC Climbing Worldcup (B) - Laval (FRA) 2014,3579,14,NICKY DE LEEUW,NED,5T15 5B13,2T3 3B3,
IFSC Climbing Worldcup (B) - Laval (FRA) 2014,2052,15,JONGWON CHON,KOR,5T10 5B9,2T3 3B4,
IFSC Climbing Worldcup (B) - Laval (FRA) 2014,2482,16,JAMES KASSAY,AUS,5T8 5B5,2T4 4B6,
IFSC Climbing Worldcup (B) - Laval (FRA) 2014,3577,17,JORG VERHOEVEN,NED,4T15 5B15,2T5 4B10,
IFSC Climbing Worldcup (B) - Laval (FRA) 2014,2480,18,THOMAS FARRELL,AUS,4T4 5B5,1T1 4B8,
